file,chain_name,chain_order,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,event_type,xdata_addr,xdata_access_type,call_type,call_target,packet_marker,notes
A03_26.PZU,A03_chain,1,0xA900,0xA900,0xA900,MOV,"R6,#0x00",,0xA902,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA902,0xA902,MOV,"DPTR,#0x7450",,0xA905,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA905,0xA902,MOV,"A,R6",,0xA906,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA906,0xA902,MOV,"0xF0,#0x04",,0xA909,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA909,0xA902,UNK,,,0xA90A,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA90A,0xA902,LCALL,0x6D38,0x6D38,0xA90D,call,,,LCALL,0x6D38,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA90D,0xA902,LCALL,0x6913,0x6913,0xA910,call,,,LCALL,0x6913,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA910,0xA902,MOV,"A,R0",,0xA911,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA911,0xA902,MOV,"DPTR,#0xA91C",,0xA914,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA914,0xA902,LCALL,0x6824,0x6824,0xA917,call,,,LCALL,0x6824,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA917,0xA902,INC,R6,,0xA918,arithmetic,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA918,0xA902,CJNE,"R6,#0x6A,-25",0xA902,0xA91B,jump,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xA91B,0xA91B,RET,,,,instruction,,,,,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xADDE,0xADDE,LCALL,0x9F58,0x9F58,0xADE1,call,,,LCALL,0x9F58,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xADE1,0xADDE,LCALL,0xA248,0xA248,0xADE4,call,,,LCALL,0xA248,none,function_confidence:probable
A03_26.PZU,A03_chain,1,0xA900,0xADE4,0xADDE,MOV,"DPTR,#0x4FCE",,0xADE7,xdata_read,0x4FCE,read,,,none,function_confidence:probable
